urls
.google
.yandex
.amazon
.adobe
.att
.medium
.baidu
.salesforce
.facebook
.microsoft
.wordpress
.wix
.gov
.gob
.go
.gox
.gok
.gos
.gouv
.gon
.gop
.govt
.gub
.gv
.me
.tv
.fm
.media
.jobs
.agency
.love
.blog
.marketing
.press
.edu
